player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22,2,50000,17697,0,32303,17938,0,32062
22,3,50000,18899,0,31101,18726,0,31274
22,4,50000,20351,0,29649,20093,0,29907
22,5,50000,22328,0,27672,22268,0,27732
22,6,50000,21977,0,28023,21885,0,28115
22,7,50000,13293,0,36707,13209,0,36791
22,8,50000,12003,0,37997,12000,0,38000
22,9,50000,12101,0,37899,11830,0,38170
22,K,50000,10519,0,39481,10320,0,39680
22,A,50000,6287,0,43713,6340,0,43660
23,2,50000,17535,0,32465,17816,0,32184
23,3,50000,18875,0,31125,18781,0,31219
23,4,50000,20678,0,29322,20540,0,29460
23,5,50000,22425,0,27575,22436,0,27564
23,6,50000,22019,0,27981,21972,0,28028
23,7,50000,13197,0,36803,13351,0,36649
23,8,50000,12131,0,37869,12308,0,37692
23,9,50000,11672,0,38328,11563,0,38437
23,K,50000,10486,0,39514,10628,0,39372
23,A,50000,6298,0,43702,6267,0,43733
24,2,50000,17691,0,32309,17641,509,31850
24,3,50000,19282,0,30718,19117,484,30399
24,4,50000,20629,0,29371,20684,534,28782
24,5,50000,22439,0,27561,22612,459,26929
24,6,50000,22028,0,27972,21970,571,27459
24,7,50000,13404,0,36596,13169,1546,35285
24,8,50000,12020,0,37980,12026,530,37444
24,9,50000,11659,0,38341,11600,465,37935
24,K,50000,10330,0,39670,10495,468,39037
24,A,50000,6255,0,43745,6445,357,43198
25,2,50000,18036,0,31964,18767,2682,28551
25,3,50000,19298,0,30702,19570,2599,27831
25,4,50000,20846,0,29154,21308,2671,26021
25,5,50000,22554,0,27446,23067,2297,24636
25,6,50000,22228,0,27772,22566,3249,24185
25,7,50000,13051,0,36949,14641,6491,28868
25,8,50000,11948,0,38052,12483,3809,33708
25,9,50000,11832,0,38168,12204,2445,35351
25,K,50000,10528,0,39472,10747,2310,36943
25,A,50000,6367,0,43633,6848,2440,40712
26,2,50000,17786,0,32214,21564,3065,25371
26,3,50000,19330,0,30670,22535,3145,24320
26,4,50000,20750,0,29250,23709,2855,23436
26,5,50000,22457,0,27543,25123,2928,21949
26,6,50000,21539,0,28461,25296,2652,22052
26,7,50000,12874,0,37126,21171,4272,24557
26,8,50000,11831,0,38169,16163,6731,27106
26,9,50000,11492,0,38508,14416,3561,32023
26,K,50000,10224,0,39776,12994,2784,34222
26,A,50000,6895,0,43105,9014,3039,37947
27,2,50000,18094,0,31906,24552,3709,21739
27,3,50000,19333,0,30667,25770,3621,20609
27,4,50000,20648,0,29352,26482,3485,20033
27,5,50000,21937,0,28063,27580,3328,19092
27,6,50000,21289,0,28711,27730,3318,18952
27,7,50000,12946,0,37054,25183,3746,21071
27,8,50000,11679,0,38321,22949,4427,22624
27,9,50000,11396,0,38604,18225,6977,24798
27,K,50000,10664,0,39336,15885,4119,29996
27,A,50000,6685,0,43315,12113,3510,34377
28,2,50000,17854,0,32146,28453,4026,17521
28,3,50000,18864,0,31136,29001,3958,17041
28,4,50000,19847,0,30153,29375,3734,16891
28,5,50000,21611,0,28389,30699,3530,15771
28,6,50000,21226,0,28774,30865,3571,15564
28,7,50000,12743,0,37257,28506,3502,17992
28,8,50000,11797,0,38203,27053,3129,19818
