player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2222,3,50000,18490,0,31510,21739,3275,24986
2222,4,50000,20109,0,29891,23104,3025,23871
2222,5,50000,23189,0,26811,25340,2726,21934
2222,6,50000,22767,0,27233,26344,2219,21437
2222,7,50000,13680,0,36320,21863,4358,23779
2222,8,50000,12401,0,37599,16511,7319,26170
2222,9,50000,12088,0,37912,15204,3718,31078
2222,K,50000,10010,0,39990,12941,2662,34397
2222,A,50000,6370,0,43630,8987,2962,38051
2223,2,50000,17738,0,32262,24380,3996,21624
2223,3,50000,18608,0,31392,25083,3892,21025
2223,4,50000,20655,0,29345,26417,3515,20068
2223,5,50000,23592,0,26408,28308,3365,18327
2223,6,50000,22930,0,27070,28817,3229,17954
2223,7,50000,13491,0,36509,26242,3720,20038
2223,8,50000,12589,0,37411,23899,4617,21484
2223,9,50000,11975,0,38025,18613,7373,24014
2223,K,50000,10085,0,39915,15551,4379,30070
2223,A,50000,6267,0,43733,11845,3745,34410
2224,2,50000,17939,0,32061,28407,4413,17180
2224,3,50000,18931,0,31069,29132,4382,16486
2224,4,50000,20762,0,29238,29972,4070,15958
2224,5,50000,23296,0,26704,31755,3688,14557
2224,6,50000,22901,0,27099,32528,3514,13958
2224,7,50000,13473,0,36527,30004,3698,16298
2224,8,50000,12161,0,37839,28426,3632,17942
2224,9,50000,11944,0,38056,25921,4592,19487
2224,K,50000,10050,0,39950,19935,6990,23075
2224,A,50000,6045,0,43955,15784,5100,29116
2225,2,50000,18280,0,31720,30444,4278,15278
2225,3,50000,19203,0,30797,30851,4158,14991
2225,4,50000,20706,0,29294,31713,4121,14166
2225,5,50000,23690,0,26310,33451,3730,12819
2225,6,50000,22900,0,27100,34094,3229,12677
2225,7,50000,13271,0,36729,30487,3990,15523
2225,8,50000,12149,0,37851,28619,4082,17299
2225,9,50000,12079,0,37921,27416,3723,18861
2225,K,50000,10050,0,39950,23409,4952,21639
2225,A,50000,6258,0,43742,18051,8236,23713
2226,2,50000,18017,0,31983,17417,2354,30229
2226,3,50000,19096,0,30904,18036,2550,29414
2226,4,50000,20777,0,29223,18733,2387,28880
2226,5,50000,23481,0,26519,19943,2031,28026
2226,6,50000,22437,0,27563,19641,2192,28167
2226,7,50000,13256,0,36744,17039,2954,30007
2226,8,50000,12036,0,37964,15611,2885,31504
2226,9,50000,11696,0,38304,13985,3090,32925
2226,K,50000,9932,0,40068,12268,3335,34397
2226,A,50000,6583,0,43417,9015,3503,37482
2227,2,50000,18026,0,31974,15507,2621,31872
2227,3,50000,19082,0,30918,16209,2163,31628
2227,4,50000,20568,0,29432,16827,2202,30971
2227,5,50000,22709,0,27291,17200,2101,30699
2227,6,50000,22142,0,27858,17148,2111,30741
2227,7,50000,13063,0,36937,15558,2994,31448
2227,8,50000,12050,0,37950,13886,3052,33062
2227,9,50000,11836,0,38164,13482,3059,33459
2227,K,50000,10449,0,39551,11366,3033,35601
2227,A,50000,6466,0,43534,8265,3600,38135
2228,2,50000,18165,0,31835,14760,2762,32478
2228,3,50000,18962,0,31038,15143,2490,32367
2228,4,50000,19893,0,30107,15288,2225,32487
2228,5,50000,22555,0,27445,15975,2187,31838
2228,6,50000,21987,0,28013,16255,2204,31541
2228,7,50000,13014,0,36986,15289,3092,31619
2228,8,50000,11809,0,38191,14853,3246,31901
2228,9,50000,12258,0,37742,13385,3101,33514
2228,K,50000,10403,0,39597,10876,3359,35765
2228,A,50000,6436,0,43564,8368,3627,38005
2229,2,50000,18087,0,31913,13477,2094,34429
2229,3,50000,18379,0,31621,13124,2161,34715
2229,4,50000,19924,0,30076,13145,2011,34844
2229,5,50000,22420,0,27580,13897,1765,34338
2229,6,50000,22001,0,27999,14173,1769,34058
2229,7,50000,12865,0,37135,14769,1909,33322
2229,8,50000,12363,0,37637,13903,2908,33189
2229,9,50000,12098,0,37902,12257,2843,34900
2229,K,50000,10285,0,39715,10227,2975,36798
2229,A,50000,6310,0,43690,7861,3343,38796
222A,2,50000,18291,6536,25173,22520,3850,23630
222A,3,50000,18660,6507,24833,22902,3706,23392
222A,4,50000,20278,6126,23596,23739,3555,22706
222A,5,50000,22756,3958,23286,26209,3000,20791
222A,6,50000,22768,6927,20305,26654,3801,19545
222A,7,50000,13850,19312,16838,20628,7444,21928
222A,8,50000,12327,6425,31248,19134,4109,26757
222A,9,50000,12298,5822,31880,18699,3518,27783
222A,K,50000,10473,5614,33913,15349,4211,30440
222A,A,50000,5954,5706,38340,10058,4498,35444
222K,2,50000,17300,0,32700,11011,2245,36744
222K,3,50000,18201,0,31799,10993,2131,36876
222K,4,50000,19701,0,30299,11216,2114,36670
222K,5,50000,22198,0,27802,11347,1835,36818
222K,6,50000,21722,0,28278,12726,1858,35416
222K,7,50000,13477,0,36523,12684,2607,34709
222K,8,50000,12144,0,37856,12195,2000,35805
222K,9,50000,11997,0,38003,10894,2917,36189
222K,K,50000,10408,0,39592,8993,3097,37910
222K,A,50000,6193,0,43807,7025,3259,39716
2232,2,50000,17925,0,32075,24568,4060,21372
2232,3,50000,18756,0,31244,25379,3853,20768
2232,4,50000,20748,0,29252,26305,3577,20118
2232,5,50000,23444,0,26556,28250,3436,18314
2232,6,50000,22707,0,27293,29012,3068,17920
2232,7,50000,13529,0,36471,26360,3702,19938
