player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223333,4,0,50000,36741,6847,6412,3927,590,45483
22223333,5,0,50000,37369,6259,6372,4193,551,45256
22223333,6,0,50000,38222,5788,5990,4100,557,45343
22223333,7,0,50000,43170,2774,4056,4239,378,45383
22223333,8,0,50000,45813,2062,2125,4479,209,45312
22223333,9,0,50000,41679,6456,1865,4577,173,45250
22223333,K,0,50000,25127,18822,6051,4099,512,45389
22223333,A,0,50000,22860,6547,20593,2047,1452,46501
2222333A,3,0,50000,24325,6873,18802,2122,428,47450
2222333A,4,0,50000,25154,5502,19344,3073,607,46320
2222333A,5,0,50000,27860,3694,18446,3154,575,46271
2222333A,6,0,50000,32303,2370,15327,3420,435,46145
2222333A,7,0,50000,35024,5352,9624,3907,258,45835
2222333A,8,0,50000,19590,20001,10409,3863,371,45766
2222333A,9,0,50000,17898,4565,27537,2663,1518,45819
2222333A,K,0,50000,15325,5239,29436,2455,504,47041
2222333A,A,0,50000,11343,5532,33125,1430,824,47746
2222334A,3,0,50000,31183,6481,12336,2638,434,46928
2222334A,4,0,50000,30654,6485,12861,2576,435,46989
2222334A,5,0,50000,32549,5567,11884,2681,416,46903
2222334A,6,0,50000,34619,4377,11004,2613,392,46995
2222334A,7,0,50000,40470,2384,7146,2954,265,46781
2222334A,8,0,50000,39170,5677,5153,3113,161,46726
2222334A,9,0,50000,22517,20203,7280,3074,283,46643
2222334A,K,0,50000,20493,5831,23676,1860,1394,46746
2222334A,A,0,50000,16991,6018,26991,1048,298,48654
2222335A,3,0,50000,37493,6535,5972,3048,371,46581
2222335A,4,0,50000,37534,6221,6245,3075,440,46485
2222335A,5,0,50000,38876,5212,5912,3124,411,46465
2222335A,6,0,50000,39213,5732,5055,3095,308,46597
2222335A,7,0,50000,42506,3431,4063,3159,278,46563
2222335A,8,0,50000,45032,2176,2792,3244,208,46548
2222335A,9,0,50000,42930,5407,1663,3283,102,46615
2222335A,K,0,50000,26357,18718,4925,3298,256,46446
2222335A,A,0,50000,22841,6642,20517,1373,1003,47624
222233A3,3,0,50000,24344,6895,18761,2119,432,47449
222233A3,4,0,50000,25232,5284,19484,3254,595,46151
222233A3,5,0,50000,27822,3648,18530,3290,600,46110
222233A3,6,0,50000,32256,2322,15422,3505,391,46104
222233A3,7,0,50000,35063,5337,9600,3805,273,45922
222233A3,8,0,50000,19605,20108,10287,3988,359,45653
222233A3,9,0,50000,17993,4615,27392,2660,1479,45861
222233A3,K,0,50000,15265,5104,29631,2430,569,47001
222233A3,A,0,50000,11437,5421,33142,1454,744,47802
222233A4,3,0,50000,30997,6466,12537,2601,455,46944
222233A4,4,0,50000,30963,6467,12570,2569,434,46997
222233A4,5,0,50000,32432,5533,12035,2652,393,46955
222233A4,6,0,50000,34724,4331,10945,2673,364,46963
222233A4,7,0,50000,40512,2318,7170,2998,252,46750
222233A4,8,0,50000,39395,5544,5061,3185,179,46636
222233A4,9,0,50000,22562,20244,7194,3104,299,46597
222233A4,K,0,50000,20504,5864,23632,1904,1366,46730
222233A4,A,0,50000,16909,6093,26998,1099,297,48604
222233A5,3,0,50000,37585,6491,5924,3073,424,46503
222233A5,4,0,50000,37349,6348,6303,3145,468,46387
222233A5,5,0,50000,38995,5111,5894,2995,404,46601
222233A5,6,0,50000,39287,5770,4943,3166,350,46484
222233A5,7,0,50000,42571,3470,3959,3132,301,46567
222233A5,8,0,50000,45014,2115,2871,3313,212,46475
222233A5,9,0,50000,42790,5434,1776,3336,112,46552
222233A5,K,0,50000,26238,18913,4849,3283,310,46407
222233A5,A,0,50000,22993,6506,20501,1325,962,47713
222233AA,3,0,50000,18590,0,31410,9120,1575,39305
222233AA,4,0,50000,21058,0,28942,9013,1556,39431
222233AA,5,0,50000,24629,0,25371,9188,1389,39423
222233AA,6,0,50000,25662,0,24338,10651,1305,38044
222233AA,7,0,50000,14506,0,35494,10748,1737,37515
222233AA,8,0,50000,13347,0,36653,11064,1019,37917
222233AA,9,0,50000,12786,0,37214,10108,1823,38069
222233AA,K,0,50000,10329,0,39671,8237,2639,39124
222233AA,A,0,50000,5751,0,44249,5675,2932,41393
