player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2222333AAA,3,50000,37946,6242,5812,1044,144,48812
2222333AAA,4,50000,37541,6344,6115,1082,149,48769
2222333AAA,5,50000,38140,5836,6024,1081,158,48761
2222333AAA,6,50000,37589,6272,6139,1077,164,48759
2222333AAA,7,50000,42186,3384,4430,1082,119,48799
2222333AAA,8,50000,44974,2295,2731,1129,72,48799
2222333AAA,9,50000,44696,3348,1956,1164,57,48779
2222333AAA,K,50000,27229,19894,2877,1127,41,48832
2222333AAA,A,50000,21838,6679,21483,0,0,50000
222233A3AA,3,50000,38010,6254,5736,1093,153,48754
222233A3AA,4,50000,37715,6263,6022,1062,137,48801
222233A3AA,5,50000,38197,5771,6032,1039,160,48801
222233A3AA,6,50000,37598,6376,6026,1077,170,48753
222233A3AA,7,50000,42339,3216,4445,1133,97,48770
222233A3AA,8,50000,44910,2263,2827,1106,70,48824
222233A3AA,9,50000,44666,3352,1982,1209,66,48725
222233A3AA,K,50000,27249,19893,2858,1178,48,48774
222233A3AA,A,50000,21801,6780,21419,0,0,50000
222233AA3A,3,50000,38072,6269,5659,1052,135,48813
222233AA3A,4,50000,37746,6318,5936,1090,148,48762
222233AA3A,5,50000,38168,5802,6030,1110,142,48748
222233AA3A,6,50000,37485,6425,6090,989,136,48875
222233AA3A,7,50000,42282,3408,4310,1052,108,48840
222233AA3A,8,50000,44926,2321,2753,1132,69,48799
222233AA3A,9,50000,44692,3293,2015,1175,48,48777
222233AA3A,K,50000,27375,19877,2748,1213,39,48748
222233AA3A,A,50000,22155,6767,21078,0,0,50000
222233AAA3,3,50000,37975,6225,5800,1119,130,48751
222233AAA3,4,50000,37624,6276,6100,1074,150,48776
222233AAA3,5,50000,38154,5855,5991,1102,124,48774
222233AAA3,6,50000,37451,6413,6136,1037,168,48795
222233AAA3,7,50000,42288,3352,4360,1155,105,48740
222233AAA3,8,50000,44779,2320,2901,1118,73,48809
222233AAA3,9,50000,44602,3386,2012,1199,47,48754
222233AAA3,K,50000,27445,19743,2812,1192,41,48767
222233AAA3,A,50000,21877,6714,21409,0,0,50000
222233AAAA,3,50000,25669,6424,17907,1078,146,48776
222233AAAA,4,50000,26168,5580,18252,2207,298,47495
222233AAAA,5,50000,27456,4883,17661,2083,282,47635
222233AAAA,6,50000,30071,2828,17101,1951,308,47741
222233AAAA,7,50000,36710,2271,11019,2203,209,47588
222233AAAA,8,50000,20546,21399,8055,2315,141,47544
222233AAAA,9,50000,19157,5117,25726,2328,114,47558
222233AAAA,K,50000,16367,5634,27999,2348,92,47560
222234AAAA,3,50000,31814,6294,11892,0,0,50000
222234AAAA,4,50000,31428,6618,11954,0,0,50000
222234AAAA,5,50000,33277,5511,11212,0,0,50000
222234AAAA,6,50000,32840,5717,11443,0,0,50000
222234AAAA,7,50000,39141,2844,8015,0,0,50000
222234AAAA,8,50000,41740,2362,5898,0,0,50000
222234AAAA,9,50000,24474,21427,4099,0,0,50000
222234AAAA,K,50000,22031,6447,21522,0,0,50000
222235AAAA,3,50000,37950,6347,5703,0,0,50000
222235AAAA,4,50000,38155,6015,5830,0,0,50000
222235AAAA,5,50000,39695,4447,5858,0,0,50000
222235AAAA,6,50000,38880,6077,5043,0,0,50000
222235AAAA,7,50000,41711,4216,4073,0,0,50000
222235AAAA,8,50000,44103,2303,3594,0,0,50000
222235AAAA,9,50000,45906,2205,1889,0,0,50000
222235AAAA,K,50000,28505,19841,1654,0,0,50000
22223A33AA,3,50000,37929,6304,5767,1072,125,48803
22223A33AA,4,50000,37781,6250,5969,1060,141,48799
22223A33AA,5,50000,38199,5769,6032,1111,128,48761
22223A33AA,6,50000,37419,6548,6033,1076,141,48783
22223A33AA,7,50000,42186,3484,4330,1092,95,48813
22223A33AA,8,50000,44864,2316,2820,1190,63,48747
22223A33AA,9,50000,44618,3417,1965,1151,43,48806
22223A33AA,K,50000,27481,19598,2921,1229,34,48737
22223A33AA,A,50000,21969,6803,21228,0,0,50000
22223A3A3A,3,50000,38026,6218,5756,1032,122,48846
22223A3A3A,4,50000,37632,6326,6042,1157,159,48684
22223A3A3A,5,50000,38264,5671,6065,1107,154,48739
22223A3A3A,6,50000,37679,6329,5992,1073,146,48781
22223A3A3A,7,50000,42295,3398,4307,1045,102,48853
22223A3A3A,8,50000,44887,2279,2834,1175,66,48759
22223A3A3A,9,50000,44695,3288,2017,1133,71,48796
22223A3A3A,K,50000,27392,19791,2817,1243,42,48715
22223A3A3A,A,50000,22090,6752,21158,0,0,50000
22223A3AA3,3,50000,38163,6160,5677,1071,148,48781
22223A3AA3,4,50000,37543,6382,6075,1046,145,48809
22223A3AA3,5,50000,38160,5715,6125,1051,126,48823
22223A3AA3,6,50000,37540,6429,6031,1059,147,48794
22223A3AA3,7,50000,42254,3419,4327,1134,107,48759
22223A3AA3,8,50000,44905,2330,2765,1198,82,48720
22223A3AA3,9,50000,44623,3308,2069,1202,40,48758
22223A3AA3,K,50000,27539,19580,2881,1191,42,48767
22223A3AA3,A,50000,22015,6634,21351,0,0,50000
22223A3AAA,3,50000,25436,6441,18123,1014,110,48876
22223A3AAA,4,50000,26081,5572,18347,2165,308,47527
22223A3AAA,5,50000,27234,4873,17893,2163,314,47523
22223A3AAA,6,50000,29927,2710,17363,2169,306,47525
